GISJOIN,GEOID,TotPop,Allocated
G0100890000602,14000US01089000602,1894,87
G0100890000701,14000US01089000701,2331,164
G0100890000702,14000US01089000702,2361,60
G0100890000901,14000US01089000901,4173,272
G0100890000902,14000US01089000902,2001,159
G0100890001000,14000US01089001000,2677,135
G0100890001200,14000US01089001200,2406,132
G0100890001301,14000US01089001301,3199,193
G0100890001302,14000US01089001302,1815,129
G0100890001401,14000US01089001401,1944,289
G0100890001402,14000US01089001402,4955,192
G0100890001500,14000US01089001500,4534,90
G0100890001700,14000US01089001700,1640,92
G0100890001801,14000US01089001801,3311,138
G0100890001901,14000US01089001901,3404,208
G0100890001902,14000US01089001902,1607,97
G0100890001903,14000US01089001903,2096,98
G0100890002000,14000US01089002000,1794,43
G0100890002100,14000US01089002100,2817,125
G0100890002200,14000US01089002200,1478,120
G0100890002300,14000US01089002300,4387,161
G0100890002400,14000US01089002400,3685,201
G0100890002501,14000US01089002501,2981,96
G0100890002502,14000US01089002502,3034,180
G0100890002600,14000US01089002600,3632,235
G0100890002701,14000US01089002701,2515,104
G0100890002721,14000US01089002721,3964,161
G0100890002722,14000US01089002722,2700,117
G0100890002801,14000US01089002801,4223,141
G0100890002802,14000US01089002802,6889,121
G0100890002911,14000US01089002911,3934,207
G0100890002912,14000US01089002912,2257,232
G0100890002921,14000US01089002921,5815,260
G0100890002922,14000US01089002922,3541,243
G0100890003000,14000US01089003000,2176,95
